"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"1325546","39.874407","-104.942539","550",
"1325546","39.874407","-104.942539","551",
"1325546","39.874377","-104.942559","552",
"1325546","39.874377","-104.942559","553",
"1325546","39.874232","-104.942653","554",
"1325546","39.874232","-104.942653","555",
"1325546","39.874201","-104.942673","556",
"1325546","39.874201","-104.942673","557",
"1325546","39.87417","-104.942692","558",
"1325546","39.87417","-104.942692","559",
"1325546","39.874139","-104.942711","560",
"1325546","39.874139","-104.942711","561",
"1325546","39.874108","-104.942731","562",
"1325546","39.874108","-104.942731","563",
"1325546","39.874077","-104.94275","564",
"1325546","39.874077","-104.94275","565",
"1325546","39.874046","-104.942769","566",
"1325546","39.874046","-104.942769","567",
"1325546","39.874015","-104.942788","568",
"1325546","39.874015","-104.942788","569",
"1325546","39.873984","-104.942807","570",
"1325546","39.873984","-104.942807","571",
"1325546","39.873412","-104.943159","572",
"1325546","39.873412","-104.943159","573",
"1325546","39.872949","-104.943475","574",
"1325546","39.872949","-104.943475","575",
"1325546","39.857963","-104.953698","576",
"1325546","39.857963","-104.953698","577",
"1325546","39.857944","-104.953711","578",
"1325546","39.857944","-104.953711","579",
"1325546","39.857924","-104.953724","580",
"1325546","39.857924","-104.953724","581",
"1325546","39.857905","-104.953737","582",
"1325546","39.857905","-104.953737","583",
"1325546","39.857885","-104.953751","584",
"1325546","39.857885","-104.953751","585",
"1325546","39.857866","-104.953764","586",
"1325546","39.857866","-104.953764","587",
"1325546","39.857847","-104.953777","588",
"1325546","39.857847","-104.953777","589",
"1325546","39.857827","-104.95379","590",
"1325546","39.857827","-104.95379","591",
"1325546","39.857808","-104.953803","592",
"1325546","39.857808","-104.953803","593",
"1325546","39.857788","-104.953816","594",
"1325546","39.857788","-104.953816","595",
"1325546","39.857769","-104.953829","596",
"1325546","39.857769","-104.953829","597",
"1325546","39.857749","-104.953842","598",
"1325546","39.857749","-104.953842","599",
"1325546","39.857729","-104.953855","600",
"1325546","39.857729","-104.953855","601",
"1325546","39.85771","-104.953868","602",
"1325546","39.85771","-104.953868","603",
"1325546","39.85769","-104.953881","604",
"1325546","39.85769","-104.953881","605",
"1325546","39.857671","-104.953893","606",
"1325546","39.857671","-104.953893","607",
"1325546","39.857651","-104.953906","608",
"1325546","39.857651","-104.953906","609",
"1325546","39.857631","-104.953919","610",
"1325546","39.857631","-104.953919","611",
"1325546","39.857611","-104.953931","612",
"1325546","39.857611","-104.953931","613",
"1325546","39.857592","-104.953943","614",
"1325546","39.857592","-104.953943","615",
"1325546","39.857572","-104.953956","616",
"1325546","39.857572","-104.953956","617",
"1325546","39.857552","-104.953968","618",
"1325546","39.857552","-104.953968","619",
"1325546","39.857532","-104.95398","620",
"1325546","39.857532","-104.95398","621",
"1325546","39.857512","-104.953992","622",
"1325546","39.857512","-104.953992","623",
"1325546","39.857492","-104.954003","624",
"1325546","39.857492","-104.954003","625",
"1325546","39.857472","-104.954015","626",
"1325546","39.857472","-104.954015","627",
"1325546","39.857325","-104.954096","628",
"1325546","39.857325","-104.954096","629",
"1325546","39.857176","-104.954169","630",
"1325546","39.857176","-104.954169","631",
"1325546","39.857025","-104.954234","632",
"1325546","39.857025","-104.954234","633",
"1325546","39.856872","-104.954293","634",
"1325546","39.856872","-104.954293","635",
"1325546","39.856851","-104.9543","636",
"1325546","39.856851","-104.9543","637",
"1325546","39.85683","-104.954307","638",
"1325546","39.85683","-104.954307","639",
"1325546","39.856808","-104.954315","640",
"1325546","39.856808","-104.954315","641",
"1325546","39.856787","-104.954322","642",
"1325546","39.856787","-104.954322","643",
"1325546","39.856766","-104.954328","644",
"1325546","39.856766","-104.954328","645",
"1325546","39.856744","-104.954335","646",
"1325546","39.856744","-104.954335","647",
"1325546","39.856723","-104.954342","648",
"1325546","39.856723","-104.954342","649",
"1325546","39.856702","-104.954349","650",
"1325546","39.856702","-104.954349","651",
"1325546","39.85668","-104.954355","652",
"1325546","39.85668","-104.954355","653",
"1325546","39.856659","-104.954361","654",
"1325546","39.856659","-104.954361","655",
"1325546","39.856638","-104.954368","656",
"1325546","39.856638","-104.954368","657",
"1325546","39.856616","-104.954374","658",
"1325546","39.856616","-104.954374","659",
"1325546","39.856595","-104.95438","660",
"1325546","39.856595","-104.95438","661",
"1325546","39.856573","-104.954386","662",
"1325546","39.856573","-104.954386","663",
"1325546","39.856552","-104.954392","664",
"1325546","39.856552","-104.954392","665",
"1325546","39.85653","-104.954398","666",
"1325546","39.85653","-104.954398","667",
"1325546","39.856509","-104.954404","668",
"1325546","39.856509","-104.954404","669",
"1325546","39.856487","-104.95441","670",
"1325546","39.856487","-104.95441","671",
"1325546","39.856466","-104.954416","672",
"1325546","39.856466","-104.954416","673",
"1325546","39.856444","-104.954421","674",
"1325546","39.856444","-104.954421","675",
"1325546","39.856423","-104.954427","676",
"1325546","39.856423","-104.954427","677",
"1325546","39.856401","-104.954433","678",
"1325546","39.856401","-104.954433","679",
"1325546","39.85638","-104.954439","680",
"1325546","39.85638","-104.954439","681",
"1325546","39.856358","-104.954444","682",
"1325546","39.856358","-104.954444","683",
"1325546","39.856337","-104.95445","684",
"1325546","39.856337","-104.95445","685",
"1325546","39.855823","-104.954586","686",
"1325546","39.855823","-104.954586","687",
"1325546","39.855786","-104.954596","688",
"1325546","39.855786","-104.954596","689",
"1325546","39.855749","-104.954605","690",
"1325546","39.855749","-104.954605","691",
"1325546","39.855712","-104.954615","692",
"1325546","39.855712","-104.954615","693",
"1325546","39.855675","-104.954625","694",
"1325546","39.855675","-104.954625","695",
"1325546","39.855638","-104.954634","696",
"1325546","39.855638","-104.954634","697",
"1325546","39.855601","-104.954644","698",
"1325546","39.855601","-104.954644","699",
"1325546","39.855564","-104.954653","700",
"1325546","39.855564","-104.954653","701",
"1325546","39.855527","-104.954662","702",
"1325546","39.855527","-104.954662","703",
"1325546","39.855267","-104.954722","704",
"1325546","39.855267","-104.954722","705",
"1325546","39.855005","-104.954772","706",
"1325546","39.855005","-104.954772","707",
"1325546","39.854743","-104.954815","708",
"1325546","39.854743","-104.954815","709",
"1325546","39.85448","-104.954848","710",
"1325546","39.85448","-104.954848","711",
"1325546","39.854217","-104.954873","712",
"1325546","39.854217","-104.954873","713",
"1325546","39.853953","-104.95489","714",
"1325546","39.853953","-104.95489","715",
"1325546","39.853689","-104.954898","716",
"1325546","39.853689","-104.954898","717",
"1325546","39.853425","-104.954897","718",
"1325546","39.853425","-104.954897","719",
"1325546","39.853161","-104.954887","720",
"1325546","39.853161","-104.954887","721",
"1325546","39.852897","-104.954869","722",
"1325546","39.852897","-104.954869","723",
"1325546","39.852633","-104.954843","724",
"1325546","39.852633","-104.954843","725",
